0	12.781	87.6894	0	24.9341	-1
20	124.226	165.382	111.875	12.7793	-1
40	175.43	214.85	162.801	10.0527	-1
60	211.411	228.683	202.279	6.48063	-1
80	229.688	245.367	222.916	5.30692	-1
100	243.807	259.125	238.763	5.05419	-1
